1999,F A CANCUN COLOSIO,01831 - CAN_CNCL_COLOSIO_01831,CNCL,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,BOULEVARD LUIS DONALDO COLOSIO,12 LOC 1,MZ 11 LT,SM 311,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
2007,F A CANCUN HACIENDA,01840 - CAN_CNHD_HACIENDA_01840,CNHD,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AVENIDA JOSE LOPEZ PORTILLO,Y38 L11-15,MZ 62LT 19,REGION 93 SAN ANTONIO SECC I,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1684,DERMA CANCUN BONAMPAK,,T014,Cerrada,CANCUN,CANCUN,183,FARMACIAS DERMATOLÓGICAS,N,AV BONAMPAK MZA 11,72 A,NUM 72 A,SUPERMANZANA 3 CENTRO,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
2360,F A CANCUN ANDALUCIA,02125 - CAN_CNAN_ANDALUCIA_02125,CNAN,Cerrada,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AVENIDA 135,,LOTE 1 MZA 03,SUPERMANZANA 527,BENITO JUAREZ,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1986,DERMA CANCUN FERRY,,T068,Cerrada,CANCUN,CANCUN,183,FARMACIAS DERMATOLÓGICAS,N,BOULEVARD KUKULKAN,L-C-4-C,M-38,ZONA HOTELERA,,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
568,F A CANCUN UXMAL                               FC,,F0UX,Cerrada,CANCUN,CANCUN,63,FRANQ. CANCUN UXMAL,N,UXMAL,,LOTE 18,SUPERMANZANA 24,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
665,F A CANCUN RUTA 5,00487 - CAN_CNR5_RUTA 5_00487,CNR5,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,MIGUEL HIDALGO,,MZ-7 LT-2,REG 91,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
763,F A CANCUN BONFIL,00730 - CAN_CNB1_BONFIL_00730,CNB1,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,AV LUIS ECHEVERRIA ALVAREZ,,MZ 1 LT 57,ALFREDO V BONFIL CANCUN,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1326,F A CANCUN CHICHEN          C,01280 - CAN_CNEN_CHICHEN_01280,CNEN,Cerrada,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,AV CHICHEN ITZA,MZ 09,LOTE 04-05,SUPERMANZANA 24,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1998,F A CANCUN PUERTO CANCUN,01830 - CAN_CNPX_PUERTO CANCUN_01830,CNPX,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AVENIDA BONAMPAK,SEC C MZA2,LOTE 8 Y 9,ZONA HOTELERA,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1279,F A CANCUN HOSPITAL,01192 - CAN_CNHS_HOSPITAL_01192,CNHS,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,CALLE 3,,MZ09 LT17,SMZA 65 CANCUN,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1448,F A CANCUN LA LUNA,01419 - CAN_CNLL_LA LUNA_01419,CNLL,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AVENIDA LA LUNA MANZANA 10,D2AYLT2D2B,N 74 B LT2,SUPERMANZANA 48,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
729,F A CANCUN LOPEZ PORTILLO,00501 - CAN_CNLP_LOPEZ PORTILLO_00501,CNLP,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AV JOSE LOPEZ PORTILLO,,MZ 44 LT 1,SM 63,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
640,F A CANCUN BONFIL                              FC,,F0YJ,Cerrada,CANCUN,CANCUN,60,FRANQ. CANCUN NICHUPTE,N,AV LUIS ECHEVERRIA ALVAREZ,SUPER MANAZANA 308,MANZANA 1,ALFREDO V BONFIL,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
570,F A CANCUN NADER    FC,,F0NA,Cerrada,CANCUN,CANCUN,61,FRANQ. CANCUN NADER,N,AV NADER,SUPER MANZANA 3,LOTE 15 MANZANA 1,CANCUN CENTRO,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1596,F A CANCUN COBA,01498 - CAN_CNCB_COBA_01498,CNCB,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AVENIDA COBA,192123,MZ12  LT17,SUPERMANZANA 22,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1597,F A CANCUN ZAZIL-HA,01537 - CAN_CNZH_ZAZIL HA_01537,CNZH,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,BOULEVARD KUKULKAN KILOMETRO 14 MAS 976,LOCAL 1Y2 ,MZ53,ZONA HOTELERA,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1657,F A CANCUN IGLESIA,01507 - CAN_CNIG_IGLESIA_01507,CNIG,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,CALLE DEL GALEON, D9-7 SECC,MZ30 L1 NO,ZONA HOTELERA,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1776,DERMA CANCUN MUSEO MAYA,,T063,Cerrada,CANCUN,CANCUN,183,FARMACIAS DERMATOLÓGICAS,N,AVENIDA KUKULCAN,M53 L64,KM 16.5 M53 L64,ZONA HOTELERA,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1825,F A CANCUN FERRY,01607 - CAN_CNFR_FERRY_01607,CNFR,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,BOULEVARD KUKULKAN ,,M-38 LOCALC-4-C,ZONA HOTELERA,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
764,F A CANCUN NICHUPTE,00731 - CAN_CNNI_NICHUPTE_00731,CNNI,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,AV NICHUPTE,L1,MZA13 L 3 ,REG 95,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
2016,F A DERMA CANCUN FERRY,04154 - CAN_CNDF_FERRY_04154,CNDF,Cerrada,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,BOULEVARD KUKULKAN,L-C-4-C,M-38 L-C-4-C,ZONA HOTELERA,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
2111,F A CANCUN CABO CATOCHE,01882 - CAN_CNCT_CABO CATOCHE_01882,CNCT,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AV.BONAMPACK,L1 LOTE4,MANZANA 3,SUPERMANZANA 9,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1346,F A CANCUN PLAZA BONITA 2,01291 - CAN_CNB2_PLAZA BONITA 2_01291,CNB2,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,AVENIDA XEL HA,,MZ34 LT62,SM 24,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1329,F A CANCUN PLAZA DE TOROS,01201 - CAN_CNPZ_PLAZA DE TOROS_01201,CNPZ,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AVENIDA BONAMPAK LOTES 58 Y 59,,MZ10,SM 4,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1283,F A CANCUN PUNTA PIEDRA,01189 - CAN_CNPP_PUNTA PIEDRA_01189,CNPP,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AVENIDA NICHUPTE,,MZ05 LT15 ,SUPERMANZANA 17,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1336,F A CANCUN ESQUINA 135,01266 - CAN_CNE1_ESQUINA 135_01266,CNE1,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,AVENIDA NICHUPTE,L 1 Y 2,MZ32 LT15,REGION 516,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1352,F A CANCUN FUENTE,01255 - CAN_CNFU_FUENTE_01255,CNFU,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AVENIDA LOPEZ PORTILLO,,MZ08 LT02,SM 59,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1284,F A CANCUN SANTA FE,01253 - CAN_CNFE_SANTA FE_01253,CNFE,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,AVENIDA CARLOS CASTILLO PERAZA,06 Y 07,MAZ54 LT05,SM 510,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
566,F A CANCUN LA LUNA          FC,,F0LL,Cerrada,CANCUN,CANCUN,58,FRANQ. CANCUN LA LUNA,S,AV LA LUNA,B,74,SUPERMANZANA 48,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
993,F A CANCUN VILLAS,00911 - CAN_CNVI_VILLAS_00911,CNVI,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AV KABAH,LTO 401-2,MZ01,SUPERMANZANA 248,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1459,F A CANCUN ESTADIO,01337 - CAN_CNES_ESTADIO_01337,CNES,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AV KABAH O RODRIGO GOMEZ ,LT12-01,MZ3,SUPERMANZANA 21,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1518,F A  CANCUN PLAZA HEROES,01395 - CAN_CNPH_PLAZA HEROES_01395,CNPH,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AVENIDA 20 DE NOVIEMBRE,Y LT159-02,MZ1L158-02,SUPERMANZANA 215,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
942,F A CANCUN NADER,00899 - CAN_CNND_NADER_00899,CNND,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,AV. CARLOS J. NARDER,,MZ01 LT15,SMZA 3 CANCUN,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
965,F A CANCUN AMERICAS,00918 - CAN_CNAM_AMÉRICAS_00918,CNAM,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AV NIÑOS HEROES,,MZ32 LT5,REG 228 CANCUN,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
966,F A CANCUN CRUCERO,00917 - CAN_CNCR_CRUCERO_00917,CNCR,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AV LOPEZ PORTILLO,Y 26,MZ1 L2425 ,SMZA 66 CANCUN,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1149,F A CANCUN NIÑOS HEROES,01114 - CAN_CNNH_NIÑOS HEROES_01114,CNNH,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,DIAGONAL TULUM,,LT1 MZA1,REGION 240,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1028,F A CANCUN LAS TORRES,00919 - CAN_CNLT_LAS TORRES_00919,CNLT,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AV CANCUN,,MZ26 LT18,SM 505,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1278,F A CANCUN 145 NORTE,01237 - CAN_CN14_145 NORTE_01237,CN14,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,CALLE 145 NORTE,,LT5,REG 102,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
674,F A CANCUN CALLE 39                             C,00595 - CAN_CNPA_CALLE 39_00595,CNPA,Cerrada,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,MANZANA 3 LT-4,,MZ-3 LT- 4,SUPERMANZANA 63,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
685,F A CANCUN LAS AMERICAS II                     FC,,F0AR,Cerrada,CANCUN,CANCUN,68,FRANQ. CANCUN CRUCERO,N,AV NIÑOS HEROES,,LOTE 5,REGION 228,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
579,F A CANCUN CRUCERO         FC,,F0CR,Cerrada,CANCUN,CANCUN,68,FRANQ. CANCUN CRUCERO,N,SUPER MANZANA 66,LOCAL 24 25 26,MANZANA 1,EL CRUCERO,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
605,F A CANCUN KUKULCAN,00483 - CAN_CNKU_KUKULCAN_00483,CNKU,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,BLVD KUKULCAN, ,MZ51 LT11E  ,ZONA HOTELERA,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
618,F A CANCUN CHICHEN                              C,00607 - CAN_CNCH_CHICHEN ITZA_00607,CNCH,Cerrada,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,AV CHICHEN ITZA,LC 104105,LOTE 21,SUPERMANZANA 24,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
620,F A CANCUN TORCASITAS                         FC,,F0TR,Cerrada,CANCUN,CANCUN,64,FRANQ. CANCUN BONITA,N,AV FRANCISCO I MADERO,,LOTE 39,SUPERMANZANA 69,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
624,F A CANCUN NIÑOS HEROES                        FC,,F0NH,Cerrada,CANCUN,CANCUN,77,FRANQ. CANCUN NIÑOS HEROES,N,AV NIÑOS HEROES,MANZANA 1,LOTE 1,REGION 240,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
627,F A CANCUN BODEGA RUTA 7                        C,,CNBO,Cerrada,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,AV PUERTO JUAREZ MZ.40,,MZ.3 LT.4,REGION 92,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
638,F A CANCUN PLAZA BONITA         C,00484 - CAN_CNPB_PLAZA BONITA_00484,CNPB,Cerrada,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,AV XELHA,LOCAL 2BIS,LOTE 1,SUPERMANZANA 28,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
778,F A CANCUN TORCASITAS MADERO                    C,00743 - CAN_CNTO_TORCASITAS MADERO_00743,CNTO,Cerrada,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,FRANCISCO I MADERO,,MZ 7 LOTE 39,SUPERMANZANA 69,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
811,F A CANCUN RUTA 4,00729 - CAN_CNR4_RUTA 4_00729,CNR4,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,AV. KABAH,27 LOE2A,MZ19 LOCAL,REG 93,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
812,F A CANCUN TULUM,00568 - CAN_CNTU_TULUM_00568,CNTU,Cerrada,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AV TULUM,16 D-2 E-C,MZ19 L15 Y 16 D-2 E-C,SM 5,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
696,F A CANCUN KABAH,00485 - CAN_CNKA_KABAH_00485,CNKA,Cerrada,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,AV CHICHEN ITZA,,MZ3 LT6,SUPERMANZANA 60,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
705,F A CANCUN CIRCUITO,00491 - CAN_CNSO_SORIANA CIRCUITO_00491,CNSO,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,PROLONGACION BONAMPAK,,MZ01 LT 1,SM 513,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
718,F A CANCUN PALENQUE,00496 - CAN_CNPL_PALENQUE_00496,CNPL,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,AV LAS PLAYAS,,MZ1 LT4,SM 30,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
719,F A CANCUN LEONA VICARIO,00497 - CAN_CNLV_LEONA VICARIO_00497,CNLV,Abierta,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,S,31 CALLE PONIENTE,05,MZ1 LT49,SM 218,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
666,F A CANCUN UXMAL         C,00486 - CAN_CNUX_AV UXMAL_00486,CNUX,Cerrada,CANCUN,CANCUN,1,FARMACIAS DEL AHORRO,N,UXMAL,,MZ-16  LT- 18-A,SUPERMANZANA 24,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
563,F A PLAYA DEL CARMEN PLAYA DEL CARMEN          FC,,F0PL,Cerrada,PLAYA DEL CARMEN,CANCUN,59,FRANQ. CANCUN LAS PLAYAS,S,AV 30 ENTRE CALLE 2 Y 2 BIS,,LOTE 2,CENTRO,SOLIDARIDAD,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
567,F A CANCUN PLAZA BONITA                        FC,,F0PB,Cerrada,CANCUN,CANCUN,64,FRANQ. CANCUN BONITA,N,AV XEL-HA MANZANA 2 LOCAL 2 BIS 3 Y 4 PLAZA BONITA ISLA F,PLANTA BAJA,LOTE 1,SUPERMANZANA 28,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
569,F A CANCUN LOPEZ PORTILLO                      FC,,F0LP,Cerrada,CANCUN,CANCUN,62,FRANQ. CANCUN LOPEZ,N,AV JOSE LOPEZ PORTILLO MANZANA 44,,LOTE 13,SUPER MANZANA 63,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
571,F A CANCUN NICHUPTE                      FC,,F0NI,Cerrada,CANCUN,CANCUN,60,FRANQ. CANCUN NICHUPTE,N,AV NICHUPTE,LOCAL 1,LT 3,REGION 95,CANCUN,QUINTANA ROO,BENITO JUAREZ,PROVINCIA,SURESTE
1225,F A SAN LUIS P GALVEZ,01165 - SLP_SAGA_GALVEZ_01165,SAGA,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,N,JOSE DE GALVEZ,,200,REFORMA,SOLEDAD DE GRACIANO SANCHEZ,SAN LUIS POTOSI,SOLEDAD DE GRACIANO SANCHEZ,PROVINCIA,NORTE
1159,F A SAN LUIS P SAN PEDRO,01038 - SLP_SASP_SAN PEDRO_01038,SASP,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,S,CARRET FEDERAL 57 SLP MATEHUALA,,1456,LAS PALMAS,SOLEDAD DE GRACIANO SANCHEZ,SAN LUIS POTOSI,SOLEDAD DE GRACIANO SANCHEZ,PROVINCIA,NORTE
1014,F A SAN LUIS P SANTA MARIA,00933 - SLP_SASM_STA MARIA_00933,SASM,Abierta,SANTA MARIA DEL RIO,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,N,JARDINES HIDALGO Y/O MORELOS,,182,CENTRO,SANTA MARIA DEL RIO,SAN LUIS POTOSI,SANTA MARIA DEL RIO,PROVINCIA,NORTE
440,F A SAN LUIS P CALLEJON DEL CODO,00460 - SLP_SACA_CALLEJON DEL CODO_00460,SACA,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,N,CALLEJON DEL CODO,,13,CENTRO,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
604,F A SAN LUIS P REFORMA,00467 - SLP_SARF_REFORMA_00467,SARF,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,N,MIGUEL HIDALGO,,660,CENTRO,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
363,F A SAN LUIS P EJE VIAL,00456 - SLP_SAEV_EJE VIAL_00456,SAEV,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,N,TANGAMANGA,,290,CENTRO,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
1871,F A SAN LUIS POTOSI DAMIAN CARMONA,01794 - SLP_SADC_DAMIAN CARMONA_01794,SADC,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,S,AV DE LA PAZ,,103.,SANTIAGO DEL RIO,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
1888,F A SAN LUIS POTOSI FERNANDO TORRES,01680 - SLP_SAFT_FERNANDO TORRES_01680,SAFT,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,S,FERNANDO TORRES,,820830,VIRREYES,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
1164,F A SAN LUIS P CONSTITUCION,01115 - SLP_SACN_CONSTITUCION_01115,SACN,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,S,SIMON DIAZ,,690,SANTA FE SUR,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
1671,DERMA SAN LUIS POTOSI CARRANZA,,T053,Cerrada,SAN LUIS POTOSI,SAN LUIS POTOSI,183,FARMACIAS DERMATOLÓGICAS,N,VENUSTIANO CARRANZA,,1935 ,TEQUISQUIAPAN,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
575,F A SAN LUIS P PEDRO MORENO,00465 - SLP_SAPE_PEDRO MORENO_00465,SAPE,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,N,AV PEDRO MORENO,,939,LOS ANGELES,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
469,F A SAN LUIS P CARRANZA,00461 - SLP_SACR_CARRANZA_00461,SACR,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,S,AV VENUSTIANO CARRANZA,,2236,POLANCO,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
617,F A SAN LUIS P CAMPESTRE,00466 - SLP_SACM_CAMPESTRE_00466,SACM,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,N,AV DEL PARQUE,,320,CAMPESTRE SAN LUIS,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
1127,F A SAN LUIS P MORELOS,01037 - SLP_SAMO_MORELOS_01037,SAMO,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,N,MORELOS,,100-A,CENTRO,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
1532,F A SAN LUIS P. CALLE 8,01466 - SLP_SACL_ CALLE 8_01466,SACL,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,S,UNIVERSIDAD,,1835,SAN LUIS,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
1029,F A SAN LUIS P SANTOS DEGOLLADO,00934 - SLP_SASD_SANTOS DEGOLLADO_00934,SASD,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,S,AV SANTOS DEGOLLADO,,783,JARDINES DEL ESTADIO,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
1223,F A SAN LUIS P CALZADA DE GUADALUPE,01129 - SLP_SACG_CALZADA DE GUADALUPE_01129,SACG,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,S,AV. JUAREZ,,600,NIÑOS HEROES,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
1313,F A SAN LUIS P LOMAS,01210 - SLP_SALM_LOMAS_01210,SALM,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,S,CORDILLERA DE LOS ALPES,,976,VILLAS DEL PEDREGAL,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
427,F A SAN LUIS P ALVARO OBREGON      C,00459 - SLP_SAAL_ALVARO OBREGON_00459,SAAL,Cerrada,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,N,ALLENDE,,115,SAN LUIS POTOSI CENTRO,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
441,F A SAN LUIS P HIMNO NACIONAL,00454 - SLP_SAHI_HIMNO NACIONAL_00454,SAHI,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,N,AV.HIMNO NACIONAL,,910,JARDIN,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
444,F A SAN LUIS P LOS PRADOS,00458 - SLP_SAPR_LOS PRADOS_00458,SAPR,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,N,JULIO BETANCOURT,,975,PRADOS DE SAN LUIS,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
801,F A SAN LUIS P SAUCITO,00707 - SLP_SASU_SAUCITO_00707,SASU,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,S,FRAY DIEGO DE LA MAGDALENA,,96,EL SAUCITO,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
915,F A SAN LUIS P AZUFRE,00839 - SLP_SAAZ_AZUFRE_00839,SAAZ,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,N,PROLONGACION AZUFRE ,,360,MORALES,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
1015,F A SAN LUIS P INDUSTRIAS,00912 - SLP_SAIN_INDUSTRIAS_00912,SAIN,Abierta,SAN LUIS POTOSI,SAN LUIS POTOSI,1,FARMACIAS DEL AHORRO,S,AV INDUSTRIAS ,,1502,JARDINES DEL SUR,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI,PROVINCIA,NORTE
